		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  244  250  242  253  255  236  235  241  1.674015 0.989428 SUCCESS   0
000000011  248  235  241  264  248  254  256  250  3.351736 0.910387 SUCCESS   1
000000101  281  242  239  250  239  220  233  238  9.297903 0.317792 SUCCESS   2
000000111  236  229  218  245  228  249  232  232  6.591730 0.581252 SUCCESS   3
000001001  220  240  261  252  251  242  245  237  4.444797 0.814930 SUCCESS   4
000001011  251  273  221  250  224  235  232  232  9.458897 0.305074 SUCCESS   5
000001101  261  248  261  269  260  257  268  235  9.635778 0.291525 SUCCESS   6
000001111  244  251  222  242  234  241  246  232  3.406813 0.906300 SUCCESS   7
000010001  238  222  255  235  240  241  251  251  3.600641 0.891240 SUCCESS   8
000010011  229  241  266  272  261  218  220  226 14.285524 0.074620 SUCCESS   9
000010101  251  236  241  244  255  223  217  232  6.653162 0.574473 SUCCESS  10
000010111  250  255  226  226  238  240  221  262  7.281248 0.506614 SUCCESS  11
000011001  228  235  259  226  231  229  237  246  5.712621 0.679387 SUCCESS  12
000011011  250  239  260  268  220  265  255  232  9.176099 0.327659 SUCCESS  13
000011101  225  264  240  227  247  224  237  228  7.605354 0.472937 SUCCESS  14
000011111  242  246  252  242  250  261  250  253  2.148522 0.976117 SUCCESS  15
000100011  235  219  245  237  251  262  246  250  4.960612 0.761778 SUCCESS  16
000100101  252  240  237  249  247  235  249  208  6.667990 0.572840 SUCCESS  17
000100111  240  233  261  252  242  255  248  217  5.766638 0.673353 SUCCESS  18
000101001  268  220  247  230  253  230  241  244  6.981504 0.538630 SUCCESS  19
000101011  263  228  240  265  242  235  227  247  6.178655 0.627228 SUCCESS  20
000101101  232  255  244  257  227  261  243  243  4.285922 0.830449 SUCCESS  21
000101111  243  253  216  241  228  243  258  269  8.275807 0.407003 SUCCESS  22
000110011  227  235  228  247  245  219  255  236  6.190305 0.625924 SUCCESS  23
000110101  242  263  238  235  250  234  219  244  5.295309 0.725597 SUCCESS  24
000110111  242  239  254  238  223  277  277  242 11.770001 0.161765 SUCCESS  25
000111001  238  243  243  214  217  236  253  237  7.960175 0.437370 SUCCESS  26
000111011  242  268  227  222  246  244  240  249  5.938224 0.654152 SUCCESS  27
000111101  262  257  240  231  261  261  260  215  9.932345 0.269807 SUCCESS  28
000111111  217  247  253  251  245  240  261  265  6.814155 0.556810 SUCCESS  29
001000011  263  227  258  222  246  255  242  237  6.391547 0.603461 SUCCESS  30
001000101  255  233  245  256  242  263  263  238  4.822920 0.776324 SUCCESS  31
001000111  244  232  268  236  271  232  234  271 10.494763 0.232001 SUCCESS  32
001001011  220  256  227  249  240  227  258  242  6.555718 0.585234 SUCCESS  33
001001101  255  236  253  260  250  224  245  248  4.111159 0.846958 SUCCESS  34
001001111  232  258  258  251  242  243  254  235  3.244760 0.918072 SUCCESS  35
001010011  257  238  236  254  244  234  241  231  2.759661 0.948523 SUCCESS  36
001010101  234  265  263  271  286  273  237  232 18.649295 0.016852 SUCCESS  37
001010111  262  226  206  246  242  236  240  232  9.912221 0.271241 SUCCESS  38
001011011  255  220  238  241  221  235  237  250  6.146880 0.630783 SUCCESS  39
001011101  253  230  257  267  246  254  240  242  4.617441 0.797572 SUCCESS  40
001011111  230  252  219  231  248  265  241  234  6.897829 0.547695 SUCCESS  41
001100101  230  245  267  222  280  259  240  221 13.867153 0.085294 SUCCESS  42
001100111  241  242  245  267  250  225  256  259  5.511379 0.701779 SUCCESS  43
001101011  225  267  243  237  211  245  265  258 11.300790 0.185232 SUCCESS  44
001101101  247  235  248  233  233  263  257  250  3.858018 0.869701 SUCCESS  45
001101111  267  248  247  241  237  268  262  248  6.404257 0.602046 SUCCESS  46
001110101  236  253  268  242  263  230  229  243  6.376719 0.605112 SUCCESS  47
001110111  244  253  228  241  251  248  253  246  2.089208 0.978154 SUCCESS  48
001111011  270  234  262  216  247  235  246  225  9.928108 0.270108 SUCCESS  49
001111101  241  242  233  234  243  243  234  249  1.564920 0.991577 SUCCESS  50
001111111  244  241  276  248  256  254  247  256  6.052614 0.641338 SUCCESS  51
010000011  246  239  239  231  218  222  245  225  7.485668 0.485250 SUCCESS  52
010000111  250  264  245  218  236  249  233  232  6.242205 0.620122 SUCCESS  53
010001011  234  252  226  245  226  255  227  265  7.073651 0.528708 SUCCESS  54
010001111  244  252  263  257  270  237  255  260  7.094835 0.526436 SUCCESS  55
010010011  232  230  283  235  246  246  242  270 11.109080 0.195595 SUCCESS  56
010010111  247  247  240  245  244  244  239  239  0.368061 0.999959 SUCCESS  57
010011011  285  241  249  261  248  256  231  254 10.231030 0.249184 SUCCESS  58
010011111  232  243  269  234  223  257  263  257  8.488699 0.387244 SUCCESS  59
010100011  251  244  275  248  259  247  266  222  9.376282 0.311554 SUCCESS  60
010100111  237  239  242  245  267  241  242  243  2.631502 0.955317 SUCCESS  61
010101011  218  251  266  249  259  259  241  225  8.685705 0.369499 SUCCESS  62
010101111  237  232  247  253  233  230  241  241  2.659040 0.953902 SUCCESS  63
010110011  215  238  266  230  228  241  264  247  9.476903 0.303674 SUCCESS  64
010110111  244  231  252  226  232  249  240  240  3.252174 0.917550 SUCCESS  65
010111011  268  232  232  260  252  264  236  249  7.045054 0.531780 SUCCESS  66
010111111  227  235  224  250  232  237  251  242  4.514702 0.807960 SUCCESS  67
011000111  232  244  231  244  252  252  251  238  2.237492 0.972852 SUCCESS  68
011001111  224  228  272  253  230  224  251  256  9.802067 0.279194 SUCCESS  69
011010111  237  246  242  219  214  211  243  263 12.931908 0.114214 SUCCESS  70
011011111  285  262  278  257  238  246  234  231 15.334100 0.052966 SUCCESS  71
011101111  249  256  230  259  243  250  238  232  3.414227 0.905744 SUCCESS  72
011111111  256  236  266  260  262  259  245  253  6.600203 0.580316 SUCCESS  73
100000000  244  250  242  253  255  236  235  241  1.674015 0.989428 SUCCESS  74
100010000  225  230  227  226  230  245  222  259  8.889065 0.351741 SUCCESS  75
100100000  252  254  253  244  245  228  267  217  7.448597 0.489093 SUCCESS  76
100101000  240  240  233  253  234  245  233  223  3.854841 0.869977 SUCCESS  77
100110000  243  247  238  237  250  195  255  266 13.313208 0.101518 SUCCESS  78
100111000  219  244  238  241  222  256  241  247  5.622592 0.689423 SUCCESS  79
101000000  231  220  234  244  235  233  232  244  5.130079 0.743587 SUCCESS  80
101000100  241  248  238  241  243  251  249  237  0.826680 0.999124 SUCCESS  81
101001000  251  253  246  230  271  241  242  220  6.980445 0.538744 SUCCESS  82
101001100  217  263  247  257  257  214  268  272 15.617957 0.048186 SUCCESS  83
101010000  239  244  231  256  250  235  227  240  3.252174 0.917550 SUCCESS  84
101010100  259  240  263  279  276  227  239  240 13.402178 0.098741 SUCCESS  85
101011000  217  277  266  277  250  247  262  253 16.170843 0.039999 SUCCESS  86
101011100  262  272  217  231  240  246  233  232  9.726866 0.284722 SUCCESS  87
101100000  239  256  267  281  265  250  230  247 11.559226 0.171980 SUCCESS  88
101100100  254  256  226  261  256  278  213  275 17.210945 0.027986 SUCCESS  89
101101000  232  248  226  225  274  268  238  281 15.743998 0.046194 SUCCESS  90
101101100  234  223  236  256  259  254  267  237  6.984681 0.538286 SUCCESS  91
101110000  271  231  236  222  234  271  250  228 10.885596 0.208266 SUCCESS  92
101110100  254  249  233  238  235  213  240  231  6.456157 0.596275 SUCCESS  93
101111000  258  247  227  243  216  250  260  241  6.705061 0.568763 SUCCESS  94
101111100  248  247  254  239  254  250  238  241  1.382743 0.994488 SUCCESS  95
110000000  258  260  252  273  260  247  250  230  7.772702 0.455983 SUCCESS  96
110000010  232  257  264  241  231  237  240  243  4.062438 0.851447 SUCCESS  97
110000100  257  207  254  254  236  234  241  240  8.195310 0.414628 SUCCESS  98
110001000  242  213  240  231  228  271  254  265 11.346334 0.182837 SUCCESS  99
110001010  244  267  252  249  231  220  238  265  7.781175 0.455132 SUCCESS 100
110010000  254  254  240  259  240  223  251  255  4.499874 0.809446 SUCCESS 101
110010010  237  261  223  239  254  242  239  259  4.904476 0.767735 SUCCESS 102
110010100  221  241  246  253  263  248  233  236  5.032635 0.754082 SUCCESS 103
110011000  227  254  238  256  246  208  255  238  8.615799 0.375735 SUCCESS 104
110011010  226  253  275  262  228  259  250  251  9.503382 0.301624 SUCCESS 105
110100000  237  222  246  233  242  241  226  246  4.295455 0.829531 SUCCESS 106
110100010  253  235  241  228  235  273  233  264  7.912512 0.442063 SUCCESS 107
110100100  228  247  271  246  261  237  275  223 11.562404 0.171822 SUCCESS 108
110101000  226  235  235  234  255  265  240  220  7.416822 0.492399 SUCCESS 109
110101010  243  226  266  257  249  213  243  234  8.771497 0.361938 SUCCESS 110
110101100  222  262  271  219  221  265  244  251 13.474202 0.096542 SUCCESS 111
110110000  255  252  263  283  242  241  250  247  8.917662 0.349289 SUCCESS 112
110110010  240  234  229  271  255  275  234  251  9.709920 0.285979 SUCCESS 113
110110100  242  249  233  231  252  237  245  283  8.257801 0.408701 SUCCESS 114
110111000  272  212  240  243  247  257  228  250  9.726866 0.284722 SUCCESS 115
110111010  246  233  229  213  251  229  262  219 10.810395 0.212676 SUCCESS 116
110111100  240  258  217  256  234  252  262  244  6.653162 0.574473 SUCCESS 117
111000000  247  256  245  269  243  269  260  220  9.417589 0.308302 SUCCESS 118
111000010  253  201  232  256  254  260  220  246 13.394764 0.098970 SUCCESS 119
111000100  263  216  212  248  231  249  243  249 10.233149 0.249042 SUCCESS 120
111000110  224  268  240  255  232  233  252  254  6.527121 0.588401 SUCCESS 121
111001000  288  239  238  227  256  231  236  240 11.347393 0.182782 SUCCESS 122
111001010  251  268  237  258  243  249  252  249  4.115396 0.846565 SUCCESS 123
111001100  239  243  239  237  265  222  270  221  9.465252 0.304579 SUCCESS 124
